M,C,N,NI,Class,h,GC,Other,Discoverer,Y,M,D,Ap,T,Observer1,Observer2,RH,RM,RS,V,DG,DM,DS,Con,Dist (kly),Vmag,Type,S,Remarks
64,2,N,4826,,1486,3321,,Pigott,1779,3,23,5.0,Rr,Bode 4.4.1779,Messier 1.3.1780,12,56,43.8,+,21,40,59,COM,24000,8.5,Sab,1,Black Eye Galaxy
65,2,N,3623,,854,2373,,Messier,1780,3,1,3.5,Rr,,,11,18,55.6,+,13,5,27,LEO,41500,9.3,Sa,1,
66,2,N,3627,,857=875,2377,,Messier,1780,3,1,3.5,Rr,,,11,20,15.1,+,12,59,24,LEO,36000,8.9,Sb,1,
67,2,N,2682,,531,1712,,Koehler,1779,,,,Rr,Messier 6.4.1780,,8,51,18.0,+,11,49,0,CNC,2.77,6.9,II2m,4,
68,2,N,4590,,3404,3128,,Messier,1780,4,9,3.5,Rr,,,12,39,28.0,-,26,44,32,HYA,33.6,7.3,X,5,
69,2a,N,6637,,3747,4411,D 613,Messier,1780,8,31,3.5,Rr,Dunlop 28.6.1826,,18,31,23.2,-,32,20,51,SGR,29.7,8.3,V,5,
70,2a,N,6681,,3756,4428,D 614,Messier,1780,8,31,3.5,Rr,Dunlop 2.6.1826,,18,43,12.7,-,32,17,29,SGR,29.4,7.8,V,5,
71,3,N,6838,,2056,4520,,de Chéseaux,1745,,,,Rr,Koehler 1779,Méchain 28.6.1780,19,53,46.1,+,18,46,44,SGE,13,8.4,XI,5,
72,3,N,6981,,2090,4608,,Méchain,1780,8,30,3.0,Rr,,,20,53,27.9,-,12,32,11,AQR,54.57,9.2,IX,5,
73,3,N,6994,,,4617,,Messier,1780,10,4,3.5,Rr,,,20,58,56.0,-,12,38,0,AQR,2.5,8.9,*4,9,
74,3,N,628,,142,372,,Méchain,1780,9,,3.0,Rr,,,1,36,41.7,+,15,47,0,PSC,30000,9.4,Sc,1,
75,3,N,6864,,2064,4543,,Méchain,1780,8,27,3.0,Rr,,,20,6,4.8,-,21,55,15,SGR,67.5,8.6,I,5,
76,3,N,650,I 193,,385=386,,Méchain,1780,9,5,3.0,Rr,Herschel W. 12.11.1787,,1,42,18.1,+,51,34,17,PER,2.5,10.1,PN,3,"Little Dumbbell, NGC 651"
77,3,N,1068,,262,600,,Méchain,1780,10,29,3.0,Rr,,,2,42,40.8,-,0,0,46,CET,47000,8.9,Sb/P,1,
78,3,N,2068,,368,1267,,Méchain,1780,3,,3.0,Rr,,,5,46,45.0,+,0,4,48,ORI,1.6,8.0,RN,2,
79,3,N,1904,,,1112,,Méchain,1780,10,26,3.0,Rr,Herschel W. 4.3.1783,,5,24,10.6,-,24,31,25,LEP,41,7.7,V,5,
80,3,N,6093,,3624,4173,,Messier,1781,1,4,3.5,Rr,,,16,17,2.5,-,22,58,28,SCO,32.6,7.3,II,5,
81,3,N,3031,,649,1949=1953,,Bode,1774,12,31,,Rr,Koehler 1779,Méchain Aug. 1780,9,55,33.5,+,69,4,2,UMA,11800,6.9,Sb,1,Bode's Nebulae
82,3,N,3034,IV 79,,1950,,Bode,1774,12,31,,Rr,Koehler 1779,Méchain Aug. 1780,9,55,54.0,+,69,40,59,UMA,11500,8.4,Sd,1,"Bode's Nebulae, HON 4"
83,3,N,5236,,3523,3606,D 628,Lacaille,1751,,,0.5,Rr,Dunlop 29.4.1826,,13,37,0.2,-,29,52,2,HYA,14700,7.5,Sc,1,
84,3,N,4374,,1237,2930,,Koehler,1779,5,5,,Rr,Messier 18.3.1781,,12,25,3.6,+,12,53,13,VIR,60000,9.1,E1,1,
85,3,N,4382,,1242,2946,,Méchain,1781,3,4,3.0,Rr,,,12,25,23.9,+,18,11,27,COM,60000,9.1,S0-a,1,
